State_ID,plant_id,plant_name,plant_group,min_height(ft),max_height(ft),water_necessity (1Lcup/day),maintenance,sunlight,indoor,outdoor,potted,shortest_growth_period(year),longest_growth_period(year),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),lowest_temp,highest_temp,Uses,description,Current_Market_Price_MMK_per_kg,Price_Unit
SHN_S,1.0,Mint,vegetable,0.3,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.8,0.6,3.0,5.0,30.0,"Culinary (flavoring, tea), medicinal (digestion, headache relief), garnish",Fast-growing aromatic herb used fresh or dried in cooking and teas.,"4,287",MMK/kg
MDY,1.0,Mint,vegetable,0.3,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.8,0.6,3.0,5.0,30.0,"Culinary (flavoring, tea), medicinal (digestion, headache relief), garnish",Fast-growing aromatic herb used fresh or dried in cooking and teas.,"4,287",MMK/kg
SAG,1.0,Mint,vegetable,0.3,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.8,0.6,3.0,5.0,30.0,"Culinary (flavoring, tea), medicinal (digestion, headache relief), garnish",Fast-growing aromatic herb used fresh or dried in cooking and teas.,"4,287",MMK/kg
SHN_S,2.0,Basil,vegetable,0.8,2.0,1.0,Low,Full Sun,Yes,Yes,Yes,0.5,0.25,1.0,1,0.7,1.0,10.0,35.0,"Culinary (pesto, salads, cooking), medicinal (anti-inflammatory, digestive)","Fragrant annual herb used widely in cooking, especially Mediterranean and Southeast Asian dishes.","3,674",MMK/kg
MDY,2.0,Basil,vegetable,0.8,2.0,1.0,Low,Full Sun,Yes,Yes,Yes,0.5,0.25,1.0,1,0.7,1.0,10.0,35.0,"Culinary (pesto, salads, cooking), medicinal (anti-inflammatory, digestive)","Fragrant annual herb used widely in cooking, especially Mediterranean and Southeast Asian dishes.","3,674",MMK/kg
YGN,2.0,Basil,vegetable,0.8,2.0,1.0,Low,Full Sun,Yes,Yes,Yes,0.5,0.25,1.0,1,0.7,1.0,10.0,35.0,"Culinary (pesto, salads, cooking), medicinal (anti-inflammatory, digestive)","Fragrant annual herb used widely in cooking, especially Mediterranean and Southeast Asian dishes.","3,674",MMK/kg
MDY,3.0,Coriander,vegetable,0.5,1.5,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.9,0.6,1.0,8.0,30.0,"Culinary (leaves & seeds, garnishing), medicinal (digestive aid, anti-diabetic)","Quick-growing herb; leaves used fresh, seeds as spice.","6,124",MMK/kg
SAG,3.0,Coriander,vegetable,0.5,1.5,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.9,0.6,1.0,8.0,30.0,"Culinary (leaves & seeds, garnishing), medicinal (digestive aid, anti-diabetic)","Quick-growing herb; leaves used fresh, seeds as spice.","6,124",MMK/kg
BGO,3.0,Coriander,vegetable,0.5,1.5,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.9,0.6,1.0,8.0,30.0,"Culinary (leaves & seeds, garnishing), medicinal (digestive aid, anti-diabetic)","Quick-growing herb; leaves used fresh, seeds as spice.","6,124",MMK/kg
YGN,3.0,Coriander,vegetable,0.5,1.5,1.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.25,1.0,0.9,0.6,1.0,8.0,30.0,"Culinary (leaves & seeds, garnishing), medicinal (digestive aid, anti-diabetic)","Quick-growing herb; leaves used fresh, seeds as spice.","6,124",MMK/kg
